basePerHeat,everyThirdHeatExtra,winBonus,heatBandIncrease,fullWin,basicCalibrationMean,adaptiveCalibrationMean,maxExitRateRatio,objective
2,8,50,0,106,32.24,60.176,1.170004714754187,7.146585618480297
2,2,20,2,88,32.288,58.528,0.881891020789236,7.539312924444447
2,4,50,1,108,30.128,61.16,0.8222718363431745,7.645610951111113
4,2,30,0,86,34.576,56.064,1.2558184167210324,7.691686551915594
3,4,50,0,102,31.272,58.328,1.1208542923462679,7.969150536518554
2,8,40,0,96,32.24,56.976,1.2357168582393985,8.148571084882983
2,0,50,2,110,28.016,62.144,0.7145039104663573,8.281659164444447
2,4,40,1,98,30.128,57.96,0.8676698673352061,8.51145984
3,0,50,1,104,29.16,59.312,0.77813136049852,8.52862641777778
4,0,50,0,98,30.304,56.48,1.08451181606926,8.873059271111114
3,4,40,0,92,31.272,55.128,1.1859162161510142,8.971127649581664
2,0,40,2,100,28.016,58.944,0.7532934821529131,9.11951872
2,8,30,0,86,32.24,53.776,1.3092495484053845,9.3363619925073
3,0,40,1,94,29.16,56.112,0.8225072578751109,9.44704064
2,4,30,1,88,30.128,54.76,0.9183737310217046,9.468330951111113
4,0,40,0,88,30.304,53.28,1.1496476608782245,9.891747281845435
2,0,30,2,90,28.016,55.744,0.7965365063867199,10.048400497777777
2,6,50,0,98,27.968,54.192,1.113599324861571,10.554293613093524
2,2,50,1,100,25.856,55.176,0.7536838030655209,11.219153919999997
3,2,50,0,94,27,52.344,1.0568386073250688,11.592108159999999
2,6,40,0,88,27.968,50.992,1.1834831858506876,11.67261939633602
2,2,40,1,90,25.856,51.976,0.8000857610809446,12.255214364444443
2,4,50,0,90,23.696,48.208,1.043190871032786,14.681543111111111
2,0,50,1,92,21.584,49.192,0.6835571590374894,15.47599217777778
3,0,50,0,86,22.728,46.36,0.9909387516974516,15.901840284444443
