cellId,seed,starter,clearedHeats,wonNormalOrGauntlet,coins,score,hands,discards,censoredAtCap
normal/medium/adaptive/full/astra,2775637725,polish,11,False,89,11258,26,9,False
normal/medium/adaptive/full/astra,2775637726,polish,8,False,53,5741,12,9,False
normal/medium/adaptive/full/astra,2775637727,polish,11,False,89,13569,22,18,False
normal/medium/adaptive/full/astra,2775637728,polish,11,False,89,13380,19,1,False
normal/medium/adaptive/full/astra,2775637729,polish,5,False,26,1919,12,3,False
normal/medium/adaptive/full/astra,2775637730,polish,11,False,89,15525,16,15,False
normal/medium/adaptive/full/astra,2775637731,polish,8,False,53,5939,23,10,False
normal/medium/adaptive/full/astra,2775637732,polish,11,False,89,11389,24,10,False
normal/medium/adaptive/full/astra,2775637733,polish,8,False,53,5621,18,11,False
normal/medium/adaptive/full/astra,2775637734,polish,6,False,33,3370,15,1,False
normal/medium/adaptive/full/astra,2775637735,polish,11,False,89,10517,26,18,False
normal/medium/adaptive/full/astra,2775637736,polish,12,True,122,14658,24,6,False
normal/medium/adaptive/full/astra,2775637737,polish,12,True,122,11176,28,10,False
normal/medium/adaptive/full/astra,2775637738,polish,12,True,122,17695,20,5,False
normal/medium/adaptive/full/astra,2775637739,polish,11,False,89,13299,32,17,False
normal/medium/adaptive/full/astra,2775637740,polish,11,False,89,13297,28,20,False
normal/medium/adaptive/full/astra,2775637741,polish,11,False,89,16202,19,11,False
normal/medium/adaptive/full/astra,2775637742,polish,8,False,53,4848,23,10,False
normal/medium/adaptive/full/astra,2775637743,polish,11,False,89,12200,31,5,False
normal/medium/adaptive/full/astra,2775637744,polish,12,True,122,13268,20,10,False
normal/medium/adaptive/full/astra,2775637745,polish,12,True,122,14868,33,3,False
normal/medium/adaptive/full/astra,2775637746,polish,8,False,53,6158,19,8,False
normal/medium/adaptive/full/astra,2775637747,polish,10,False,76,9384,29,8,False
normal/medium/adaptive/full/astra,2775637748,polish,12,True,122,14305,21,9,False
normal/medium/adaptive/full/astra,2775637749,polish,11,False,89,11193,29,5,False
normal/medium/adaptive/full/astra,2775637750,polish,11,False,89,11206,25,12,False
normal/medium/adaptive/full/astra,2775637751,polish,11,False,89,12948,34,16,False
normal/medium/adaptive/full/astra,2775637752,polish,12,True,122,15815,27,9,False
normal/medium/adaptive/full/astra,2775637753,polish,12,True,122,15720,22,15,False
normal/medium/adaptive/full/astra,2775637754,polish,11,False,89,11728,23,15,False
normal/medium/adaptive/full/astra,2775637755,polish,11,False,89,10988,28,6,False
normal/medium/adaptive/full/astra,2775637756,polish,6,False,33,2812,13,3,False
normal/medium/adaptive/full/astra,2775637757,polish,10,False,76,8691,25,3,False
