cellId,runs,firstSeed,lastSeed,wins,winRate,win95Low,win95High,meanClearedHeats,meanCoins,meanCoins95Low,meanCoins95High,medianCoins,p10Coins,p90Coins,modeledMinutes,modeledCoinsPerMinute,oneOptionalAdMeanBonus,censoredAt24,invariantFailures,rewardFormulaMismatches
endless/medium/adaptive/full/astra,250,2775637536,2775637785,51,0.204,0.15870525412410838,0.2582536591771948,10.552,89.116,83.3838,95.3522,89.0,43.0,149.29999999999993,9.879823799999999,9.019998919413927,25,2,0,0
gauntlet/medium/adaptive/full/shared,250,2775637536,2775637785,26,0.104,0.07196523249243102,0.14802034070796105,5.504,31.756,30.0352,33.580099999999995,33.0,19.0,63.0,5.952993000000001,5.334459489537448,22.556,0,0,0
normal/easy/adaptive/full/astra,250,2775637536,2775637785,148,0.592,0.5301331548047546,0.6510823180880835,11.176,103.5,100.31989999999999,106.41629999999999,122.0,63.0,122.0,8.525697533333334,12.13976916203525,25,0,0,0
normal/hard/adaptive/full/astra,250,2775637536,2775637785,21,0.084,0.05559603876664466,0.12499486641356522,8.532,62.892,59.5114,66.5046,53.0,26.0,89.0,8.235629999999999,7.6365742511501855,24.852,0,0,0
normal/medium/adaptive/full/astra,500,2775637536,2775638035,114,0.228,0.19338176911500068,0.26676587209608377,9.918,81.15,78.75789999999999,83.7641,89.0,43.0,122.0,8.805413966666666,9.215921058021506,25,0,0,0
normal/medium/adaptive/new/astra,500,2775637536,2775638035,103,0.206,0.17285664127336728,0.24362647091802545,10.74,90.16,88.4319,92.0001,89.0,53.0,122.0,10.049141899999999,8.971910327985318,25,0,0,0
normal/medium/handRanking/full/astra,500,2775637536,2775638035,24,0.048,0.03246520694135317,0.07042719683589006,8.218,58.798,56.53165,61.18005,53.0,26.0,89.0,7.521408699999999,7.817418564158068,24.554,0,0,0
normal/medium/handRanking/new/astra,500,2775637536,2775638035,0,0.0,4.336808689942018e-19,0.007624340461552241,7.682,50.684,49.2913,52.05005,53.0,26.0,76.0,7.401629799999999,6.847681033709629,24.838,0,0,0
