cellId,timingScenario,exitAfterHeat,runs,reached,exitCoinsPerMinute,fullAttemptCoinsPerMinute,exitToFullRate
normal/easy/adaptive/full/astra,quickFast,1,250,250,15.232597962741577,28.19483277794507,0.5402620431449062
normal/easy/adaptive/full/astra,quickFast,3,250,250,16.160008503755588,28.19483277794507,0.5731549688919056
normal/easy/adaptive/full/astra,quickFast,6,250,248,21.18332280583005,28.19483277794507,0.7513193276464595
normal/easy/adaptive/full/astra,quickFast,9,250,229,24.048956248449894,28.19483277794507,0.8529561582383912
normal/easy/adaptive/full/astra,typicalNormal,1,250,250,7.128394140317448,12.13976916203525,0.5871935491664951
normal/easy/adaptive/full/astra,typicalNormal,3,250,250,7.190773374867239,12.13976916203525,0.5923319693223635
normal/easy/adaptive/full/astra,typicalNormal,6,250,248,9.26654671436731,12.13976916203525,0.7633214924173862
normal/easy/adaptive/full/astra,typicalNormal,9,250,229,10.419416197402192,12.13976916203525,0.8582878354875869
normal/easy/adaptive/full/astra,deliberateNormal,1,250,250,4.687850490071798,7.664189033053478,0.6116564283389183
normal/easy/adaptive/full/astra,deliberateNormal,3,250,250,4.559261509057811,7.664189033053478,0.5948785304479061
normal/easy/adaptive/full/astra,deliberateNormal,6,250,248,5.8436691497017925,7.664189033053478,0.762464120404612
normal/easy/adaptive/full/astra,deliberateNormal,9,250,229,6.573553742379204,7.664189033053478,0.8576972350276497
normal/hard/adaptive/full/astra,quickFast,1,250,250,13.883155659792372,17.84114943162612,0.7781536561306074
normal/hard/adaptive/full/astra,quickFast,3,250,250,14.310896921153633,17.84114943162612,0.8021286395250642
normal/hard/adaptive/full/astra,quickFast,6,250,213,16.660878873761757,17.84114943162612,0.9338455987722318
normal/hard/adaptive/full/astra,quickFast,9,250,123,17.34040066556223,17.84114943162612,0.9719329313403856
normal/hard/adaptive/full/astra,typicalNormal,1,250,250,6.423861820162727,7.636574251150185,0.841196799624543
normal/hard/adaptive/full/astra,typicalNormal,3,250,250,6.313710601393563,7.636574251150185,0.8267726330877515
normal/hard/adaptive/full/astra,typicalNormal,6,250,213,7.2069961445879915,7.636574251150185,0.9437472756193667
normal/hard/adaptive/full/astra,typicalNormal,9,250,123,7.442618269722711,7.636574251150185,0.974601702930046
normal/hard/adaptive/full/astra,deliberateNormal,1,250,250,4.212543606847251,4.838107907889375,0.8707006307110198
normal/hard/adaptive/full/astra,deliberateNormal,3,250,250,4.0070895208731985,4.838107907889375,0.8282348383215975
normal/hard/adaptive/full/astra,deliberateNormal,6,250,213,4.559509238723044,4.838107907889375,0.9424157802036564
normal/hard/adaptive/full/astra,deliberateNormal,9,250,123,4.712812036902307,4.838107907889375,0.9741022992102448
normal/medium/adaptive/full/astra,quickFast,1,500,500,14.653082770502229,21.493859903029982,0.6817334269698384
normal/medium/adaptive/full/astra,quickFast,3,500,500,15.047293014975502,21.493859903029982,0.7000740249941934
normal/medium/adaptive/full/astra,quickFast,6,500,479,18.77792955786547,21.493859903029982,0.873641572178404
normal/medium/adaptive/full/astra,quickFast,9,500,358,20.16333952105239,21.493859903029982,0.938097652632879
normal/medium/adaptive/full/astra,typicalNormal,1,500,500,6.823882474091866,9.215921058021506,0.7404449789804116
normal/medium/adaptive/full/astra,typicalNormal,3,500,500,6.66112300871973,9.215921058021506,0.722784295436419
normal/medium/adaptive/full/astra,typicalNormal,6,500,479,8.163391565964698,9.215921058021506,0.8857922626039979
normal/medium/adaptive/full/astra,typicalNormal,9,500,358,8.682373833965311,9.215921058021506,0.9421059250945083
normal/medium/adaptive/full/astra,deliberateNormal,1,500,500,4.482077795648408,5.833702891042972,0.7683075191453718
normal/medium/adaptive/full/astra,deliberateNormal,3,500,500,4.226247908579597,5.833702891042972,0.7244537453336114
normal/medium/adaptive/full/astra,deliberateNormal,6,500,479,5.160148488455622,5.833702891042972,0.8845408456399929
normal/medium/adaptive/full/astra,deliberateNormal,9,500,358,5.49221897941934,5.833702891042972,0.9414636093058588
normal/medium/adaptive/new/astra,quickFast,1,500,500,14.653082770502229,20.977707114431,0.698507357861912
normal/medium/adaptive/new/astra,quickFast,3,500,500,15.024266067732643,20.977707114431,0.7162015365062058
normal/medium/adaptive/new/astra,quickFast,6,500,499,19.218894621657636,20.977707114431,0.9161580203604122
normal/medium/adaptive/new/astra,quickFast,9,500,436,20.93635817305241,20.977707114431,0.9980289103497807
normal/medium/adaptive/new/astra,typicalNormal,1,500,500,6.823882474091866,8.971910327985318,0.7605830001228064
normal/medium/adaptive/new/astra,typicalNormal,3,500,500,6.64915635965857,8.971910327985318,0.741108205118638
normal/medium/adaptive/new/astra,typicalNormal,6,500,499,8.358622704265402,8.971910327985318,0.9316435852232116
normal/medium/adaptive/new/astra,typicalNormal,9,500,436,9.011947081477054,8.971910327985318,1.0044624558235775
normal/medium/adaptive/new/astra,deliberateNormal,1,500,500,4.482077795648408,5.779175289251538,0.7755566445586881
normal/medium/adaptive/new/astra,deliberateNormal,3,500,500,4.237128195973114,5.779175289251538,0.7331717734628301
normal/medium/adaptive/new/astra,deliberateNormal,6,500,499,5.345835494318649,5.779175289251538,0.925017018303833
normal/medium/adaptive/new/astra,deliberateNormal,9,500,436,5.7928124206761815,5.779175289251538,1.0023597019889685
normal/medium/handRanking/full/astra,quickFast,1,500,500,14.037965912777159,18.21704218682747,0.7705952354289352
normal/medium/handRanking/full/astra,quickFast,3,500,496,13.98095943165903,18.21704218682747,0.7674659414121848
normal/medium/handRanking/full/astra,quickFast,6,500,418,17.00230098746509,18.21704218682747,0.9333184176166236
normal/medium/handRanking/full/astra,quickFast,9,500,222,17.933391347187566,18.21704218682747,0.984429369118714
normal/medium/handRanking/full/astra,typicalNormal,1,500,500,6.493965779939099,7.817418564158069,0.83070462795905
normal/medium/handRanking/full/astra,typicalNormal,3,500,496,6.151690046795436,7.817418564158069,0.786920899310701
normal/medium/handRanking/full/astra,typicalNormal,6,500,418,7.361735396908452,7.817418564158069,0.9417092530597161
normal/medium/handRanking/full/astra,typicalNormal,9,500,222,7.713430015031361,7.817418564158069,0.9866978404350149
normal/medium/handRanking/full/astra,deliberateNormal,1,500,500,4.245579458443083,4.967917805065686,0.854599376445792
normal/medium/handRanking/full/astra,deliberateNormal,3,500,496,3.8947155888388822,4.967917805065686,0.7839734354838801
normal/medium/handRanking/full/astra,deliberateNormal,6,500,418,4.6561651171952505,4.967917805065686,0.9372468104137014
normal/medium/handRanking/full/astra,deliberateNormal,9,500,222,4.8944635941331125,4.967917805065686,0.9852142861829007
normal/medium/handRanking/new/astra,quickFast,1,500,500,14.037965912777159,15.98789272419657,0.8780372845216597
normal/medium/handRanking/new/astra,quickFast,3,500,497,13.922059869662437,15.98789272419657,0.8707876710100988
normal/medium/handRanking/new/astra,quickFast,6,500,448,16.93986976100589,15.98789272419657,1.0595436217412548
normal/medium/handRanking/new/astra,quickFast,9,500,124,16.432431110419593,15.98789272419657,1.0278046890788954
normal/medium/handRanking/new/astra,typicalNormal,1,500,500,6.493965779939099,6.84768103370963,0.9483452497233343
normal/medium/handRanking/new/astra,typicalNormal,3,500,497,6.121937169854075,6.84768103370963,0.8940161113984607
normal/medium/handRanking/new/astra,typicalNormal,6,500,448,7.322635485279221,6.84768103370963,1.0693598970558784
normal/medium/handRanking/new/astra,typicalNormal,9,500,124,7.045454380075695,6.84768103370963,1.028881798873585
normal/medium/handRanking/new/astra,deliberateNormal,1,500,500,4.245579458443083,4.405313733393758,0.9637405450286468
normal/medium/handRanking/new/astra,deliberateNormal,3,500,497,3.891499601415901,4.405313733393758,0.8833649172173658
normal/medium/handRanking/new/astra,deliberateNormal,6,500,448,4.683672666590374,4.405313733393758,1.0631870849711704
normal/medium/handRanking/new/astra,deliberateNormal,9,500,124,4.529722116410523,4.405313733393758,1.0282405273598807
